Model,Stage,MAE,RMSE,MAPE,R2
Tuned Ridge Regression,Tuned,75.93488547875269,94.25359612218556,19.68774264914515,0.6510091763085377
Tuned XGBoost,Tuned,83.86194508346085,107.52447583035956,20.72408381019815,0.5458149678498878
Tuned Random Forest,Tuned,82.21686339966514,107.84481625210681,20.57645383433759,0.5431046908902173
Tuned Gradient Boosting,Tuned,85.56274193432608,111.27541548082708,21.16797398389498,0.5135742035775973
