Model,Stage,MAE,RMSE,MAPE,R2
Ridge Reference,Reference,82.77904669371132,103.52742560095767,21.388582111595568,0.5789545497326585
Random Forest Reference,Reference,85.94927835051546,111.29114168025615,21.12741639124881,0.5134367038504966
Gradient Boosting Reference,Reference,89.65087307933982,114.05045099320783,22.11358000777695,0.4890102796029745
XGBoost Reference,Reference,101.61713102674976,132.3299796352478,23.92934526084983,0.3120852192957033
