feature,importance
is_weekend,51.605685654831845
quarter,44.23175189663312
is_local_holiday,31.263337152779922
month,21.544460654311234
week_of_year,16.32110140746719
sales_outlier_flag,15.980511280253575
is_national_holiday,14.267385839126092
unit_sales_roll_std_30,10.077512598963358
oil_lag_1,8.524882612637239
is_holiday,8.308460534615532
holiday_count,7.176451863302208
oil_roll_mean_7,6.199058496613235
unit_sales_roll_mean_14,1.8300381752740833
unit_sales_lag_14,1.444036274838035
unit_sales_lag_7,1.1823604565116597
unit_sales_lag_1,1.1459492219816383
day,1.0999662242238757
is_month_start,0.3553380423825402
oil_lag_7,0.26699586830136324
dcoilwtico,0.16863662597841939
is_month_end,0.1217913440179899
dayofweek,0.07706281071872353
unit_sales_lag_30,0.06906134263434609
unit_sales_roll_mean_30,0.03327864875179074
is_regional_holiday,0.0
year,0.0
unit_sales_roll_mean_7,-0.31585683127369607
unit_sales_roll_std_14,-0.8053162559921887
unit_sales_roll_std_7,-1.5420803882008685
