Model,MAE,RMSE,MAPE,R2
"SARIMAX (1,0,1)(1,0,1,7)",93.69553665063556,140.21900726939455,21.771444765172905,0.4156262579958979
Holt-Winters Additive Weekly,94.83596594441512,143.0736787393622,20.998332932637933,0.39158991382178565
Holt Linear Trend,138.13500821123685,182.06850644295844,31.614655645218072,0.01474969859957953
Simple Exponential Smoothing,140.5018056922277,183.48535359221327,32.78705189610217,-0.0006442946602218669
7-Day Moving Average,139.38650793650794,183.90056174459426,31.973708408739654,-0.005178125286061652
Naive,137.55,190.15254840960367,29.108101915842198,-0.07468507504906396
Seasonal Naive 7-day,132.39444444444445,211.8018269252862,30.929720679417926,-0.3333259169183005
